inci_name,function_inci,ph_min,ph_max,usage_level_min,usage_level_max
C12-13 Pareth-2 Phosphate,,-1.00,,,
C12-13 Pareth-23,"surfactant/cleansing, emulsifying, surfactant/cleansing",-1.00,,,
C12-13 Pareth-3,"emulsifying, surfactant/cleansing",-1.00,,,
C12-13 Pareth-5 Carboxylic Acid,,-1.00,,,
Bis-Hydroxyethyl Cocomonium Nitrate,,-1.00,,,
C12-14 Alketh-12,surfactant - emulsifying,-1.00,,,
C12-14 Pareth-7,"emulsifying, surfactant/cleansing",-1.00,,,
C12-14 Sec-Pareth-20,,-1.00,,,
C12-14 Sec-Pareth-30,,-1.00,,,
C12-14 Sec-Pareth-40,,-1.00,,,
C12-14 Sec-Pareth-7,"emulsifying, surfactant/cleansing, emulsion stabilising",-1.00,,,
C12-14 Sec-Pareth-8,,-1.00,,,
C12-15 Pareth-10,"surfactant - cleansing, surfactant - emulsifying",-1.00,,,
C12-15 Pareth-10 Phosphate,,-1.00,,,
C12-15 Pareth-11,"surfactant - cleansing, surfactant - emulsifying",-1.00,,,
C12-15 Pareth-12 Carboxylic Acid,,-1.00,,,
C12-15 Pareth-2 Phosphate,,-1.00,,,
C12-15 Pareth-3 Phosphate,"surfactant/cleansing, emulsifying",-1.00,,,
C12-13 Pareth-6,,-1.00,,,
C12-15 Pareth-8 Carboxylic Acid,,-1.00,,,
C12-15 Pareth-9 Phosphate,,-1.00,,,
C12-16 Alcohols,"emollient, viscosity controlling, emulsion stabilising",-1.00,,,
C12-16 Pareth-5,,-1.00,,,
C12-16 Pareth-7,,-1.00,,,
C12-18 Dialkyldimonium Chloride,,-1.00,,,
C14-15 Pareth-13,,-1.00,,,
C14-15 Pareth-4,,-1.00,,,
C14-15 Pareth-7,,-1.00,,,
C14-15 Pareth-8,,-1.00,,,
C14-15 Pareth-8 Carboxylic Acid,,-1.00,,,
C14-28 Alkyl Acid,hair conditioning,-1.00,,,
Oleamidopropyl PG-Dimonium Chloride,,-1.00,,,
C12-15 Pareth-7 Carboxylic Acid,,-1.00,,,
C20-22 Pareth-30,,-1.00,,,
C20-40 Pareth-24,,-1.00,,,
C20-40 Pareth-95,,-1.00,,,
C4-18 Perfluoroalkylethyl Thiohydroxypropyltrimonium Chloride,,-1.00,,,
C6-10 Pareth-4 Phosphate,,-1.00,,,
C8-10 Alkyl Ethyl Phosphate,,-1.00,,,
C9-11 Pareth-8,"emulsifying, surfactant/cleansing",-1.00,,,
C9-15 Alkyl Phosphate,"surfactant/cleansing, emulsifying",-1.00,,,
Calcium Xylenesulfonate,,-1.00,,,
Deceth-4 Phosphate,,-1.00,,,
Disodium Undecylenoyl Glutamate,,-1.00,,,
Sodium Trideceth-15 Carboxylate,,-1.00,,,
C20-22 Alkyl Phosphate,"emulsifying, surfactant/cleansing",-1.00,,,
Cannabisamidopropyl Hydroxysultaine,,-1.00,,,
Caproyl Ethyl Glucoside,,-1.00,,,
Capryl Hydroxyethyl Imidazoline,,-1.00,,,
Capryl/Capramidopropyl Betaine,,-1.00,,,
Capryleth-4 Carboxylic Acid,,-1.00,,,
Capryleth-5,,-1.00,,,
Capryleth-9 Carboxylic Acid,,-1.00,,,
Caprylyl Glucoside,,-1.00,,,
Caprylyl/Capryl Glucosides/Xylosides,,-1.00,,,
Carboxymethyl Isostearamidopropyl Morpholine,,-1.00,,,
Deceth-5,"surfactant - cleansing, surfactant - emulsifying",-1.00,,,
Deceth-8,"surfactant - cleansing, surfactant - emulsifying",-1.00,,,
Sodium C10-15 Alketh Sulfate,,-1.00,,,
Behenyl Betaine,"surfactant/cleansing, viscosity controlling",-1.00,,,
Ceteardimonium Chloride,"antistatic, hair conditioning",-1.00,,,
Ceteareth-10 Phosphate,surfactant/cleansing,-1.00,,,
Ceteareth-14,,-1.00,,,
Ceteareth-5,"emulsifying, surfactant/cleansing",-1.00,,,
Ceteth-1,"surfactant - cleansing, surfactant - emulsifying",-1.00,,,
Ceteth-16,"emulsifying, surfactant/cleansing",-1.00,,,
Cetethyldimonium Bromide,,-1.00,,,
Ditallowoylethyl Hydroxyethylmonium Methosulfate,,-1.00,,,
Sodium Dilinoleamidopropyl PG-Dimonium Chloride Phosphate,,-1.00,,,
Cetearalkonium Bromide,,-1.00,,,
Cetrimonium Tosylate,,-1.00,,,
Cetyl Betainate Chloride,,-1.00,,,
Cetyl Betaine,"surfactant/cleansing, surfactant/cleansing, viscosity controlling",-1.00,,,
Cetyl Ethyldimonium Ethosulfate,,-1.00,,,
Cetylamine Hydrofluoride,,-1.00,,,
Cetylpyridinium Chloride,"antimicrobial/antibacterial, emulsifying, surfactant/cleansing, deodorant",-1.00,,,
Chloroacetamide (CAS No. 79-07-2),,-1.00,,,
Choleth-10,"emulsifying, surfactant/cleansing",-1.00,,,
Choleth-15,"emulsifying, surfactant/cleansing",-1.00,,,
Choleth-30,,-1.00,,,
Hexoxyethyl Diethylammonium Phosphate,,-1.00,,,
Ceteth-4,"emulsifying, surfactant/cleansing",-1.00,,,
Hydrogenated Palmtrimonium Chloride,,-1.00,,,
Sodium Caprylyl Sulfonate,,-1.00,,,
Cocamide,"emulsifying, surfactant/cleansing, viscosity controlling, emulsion stabilising",-1.00,,,
Cocamide DIPA,"emulsifying, surfactant/cleansing, viscosity controlling",-1.00,,,
Cocamide MEA,"surfactant/cleansing, viscosity controlling, emulsifying, emulsion stabilising",-1.00,,,
Cocamidoethyl Betaine,"surfactant/cleansing, viscosity controlling",-1.00,,,
Cocamidopropyl Dimethylamine,"emulsifying, surfactant/cleansing",-1.00,,,
Cocamidopropyl Dimethylamine Dihydroxymethylpropionate,,-1.00,,,
Cocamidopropyl Hydroxysultaine,"surfactant/cleansing, viscosity controlling",-1.00,,,
Cocamidopropyl Lauryl Ether,,-1.00,,,
Cocamidopropyl Morpholine Lactate,,-1.00,,,
Cocamidopropyl PG-Dimonium Chloride,"antistatic, hair conditioning",-1.00,,,
Toluenesulfonamide/Formaldehyde Resin,Colorant,,,,
Butoxynol-19 Carboxylic Acid,,-1.00,,,
Cocamidopropylamine Oxide,surfactant/cleansing,-1.00,,,
Cocamine,,-1.00,,,
Cocaminopropionic Acid,,-1.00,,,
Coceth-10,"surfactant - cleansing, surfactant - emulsifying",-1.00,,,
Coceth-20,"emulsifying, surfactant/cleansing",-1.00,,,
Coceth-25,,-1.00,,,
Coceth-4 Glucoside,,-1.00,,,
Coceth-5,,-1.00,,,
Coco-Morpholine Oxide,,-1.00,,,
Coco-Sultaine,,-1.00,,,
Coconut Alcohol,"emollient, emulsifying, surfactant/cleansing, viscosity controlling, emulsion stabilising",-1.00,,,
Coconut Oil Aminoethoxyethanol Amides,"surfactant/cleansing, viscosity controlling",-1.00,,,
Cocotrimonium Methosulfate,"antistatic, hair conditioning",-1.00,,,
Cocamidopropyl Dimethylamine Propionate,,-1.00,,,
Cocoyl Glutamic Acid,,-1.00,,,
Cocoyl Methyl Beta-Alanine,,-1.00,,,
Cocoyl Methyl Glucamide,"solvent, surfactant/cleansing, viscosity controlling",-1.00,,,
Cocoyl Sarcosinamide DEA,,-1.00,,,
Cocoyl Sarcosine,surfactant/cleansing,-1.00,,,
DEA-C12-13 Alkyl Sulfate,,-1.00,,,
DEA-C12-13 Pareth-3 Sulfate,,-1.00,,,
DEA-C12-15 Alkyl Sulfate,,-1.00,,,
DEA-Cocoamphodipropionate,,-1.00,,,
DEA-Laureth Sulfate,,-1.00,,,
DEA-Lauryl Sulfate,,-1.00,,,
DEA-Methyl Myristate Sulfonate,,-1.00,,,
Cocotrimonium Chloride,"antimicrobial/antibacterial, preservative, surfactant/cleansing",-1.00,,,
DEA-Myristate,,-1.00,,,
DEA-Myristyl Sulfate,,-1.00,,,
DEA-Oleth-20 Phosphate,,-1.00,,,
DEA-Oleth-3 Phosphate,,-1.00,,,
DEA-Oleth-5 Phosphate,,-1.00,,,
DIPA-Hydrogenated Cocoate,,-1.00,,,
Decamethonium,,-1.00,,,
Decamethonium Bromide,,-1.00,,,
Deceth-10,,-1.00,,,
Deceth-3,"surfactant - cleansing, surfactant - emulsifying",-1.00,,,
Deceth-4,,-1.00,,,
"Tuaminoheptane sulfate; Bis[(1-methylhexyl)ammonium] sulphate; Hexylamine, 1-methyl-, sulfate (2:1)",,-1.00,,,
DEA-Myreth Sulfate,,-1.00,,,
Deceth-7 Carboxylic Acid,,-1.00,,,
Deceth-9 Phosphate,,-1.00,,,
Decyl Betaine,,-1.00,,,
Decyltetradeceth-20,,-1.00,,,
Decyltetradecylamine Oxide,,-1.00,,,
Di-C12-15 Pareth-10 Phosphate,,-1.00,,,
Di-C12-15 Pareth-2 Phosphate,,-1.00,,,
Di-C12-15 Pareth-6 Phosphate,,-1.00,,,
Di-C12-15 Pareth-8 Phosphate,"surfactant/cleansing, emulsifying",-1.00,,,
Di-C12-18 Alkyl Dimonium Chloride,"hair conditioning, skin conditioning",-1.00,,,
Di-C12-20 Alkyl Dimonium Cellulose Sulfate,,-1.00,,,
Di-TEA-Cocamide Diacetate,,-1.00,,,
Deceth-7,"emulsifying, surfactant/cleansing",-1.00,,,
Diammonium Aminoethylthiosuccinate,,-1.00,,,
Diammonium Oleamido PEG-2 Sulfosuccinate,,-1.00,,,
Diamyl Sodium Sulfosuccinate,,-1.00,,,
Dibehenyldimonium Methosulfate,,-1.00,,,
Dicapryl Sodium Sulfosuccinate,,-1.00,,,
Dicetyldimonium Chloride,,-1.00,,,
Dicocodimethylamine Dilinoleate,,-1.00,,,
Didecyldimonium Chloride,,-1.00,,,
Diethanolaminooleamide DEA,,-1.00,,,
Diethylcarbamoyl-chloride,,-1.00,,,
Diheptyl Sodium Sulfosuccinate,,-1.00,,,
Dihexyldecyl Lauroyl Glutamate,,-1.00,,,
Di-TEA-Oleamido PEG-2 Sulfosuccinate,,-1.00,,,
Dihydrogenated Tallowamidoethyl Hydroxyethylmonium Chloride,,-1.00,,,
Dihydrogenated Tallowamidoethyl Hydroxyethylmonium Methosulfate,,-1.00,,,
Dihydroxyethyl C12-15 Alkoxypropylamine Oxide,,-1.00,,,
Dihydroxyethyl Cocamine Dioleate,,-1.00,,,
Dihydroxyethyl Cocamine Oxide,,-1.00,,,
Dihydroxyethyl Oleyl Glycinate,,-1.00,,,
Dihydroxyethyl Stearyl Glycinate,,-1.00,,,
Dihydroxyethyl Tallow Glycinate,,-1.00,,,
Dihydroxyethyl Tallowamine Dioleate,,-1.00,,,
Dihydroxyethyl Tallowamine HCl,,-1.00,,,
Heptyl Glucoside,,-1.00,,,
Dihydrogenated Tallow Hydroxyethylmonium Methosulfate,,-1.00,,,
Di-C12-15 Alkyl Dimonium Chloride,hair conditioning,-1.00,,,
Dihydroxypropyl PEG-5 Linoleammonium Chloride,,-1.00,,,
Diisopropyl Heptyl Phosphine Oxide,,-1.00,,,
Dilaureth-4 Dimonium Chloride,,-1.00,,,
Dilaureth-4 Phosphate,,-1.00,,,
Dilauryldimonium Chloride,,-1.00,,,
Dimer Dilinoleamidopropyl PG-Dimonium Chloride Phosphate,,-1.00,,,
Dimethicone PEG-7 Sulfate,,-1.00,,,
Dimethicone Propyl PG-Betaine,,-1.00,,,
Dimethyl Lauramine,,-1.00,,,
Dinonoxynol-9 Citrate,,-1.00,,,
Diisopropyl Nonyl Phosphine Oxide,,-1.00,,,
Dioctyldodeceth-2 Lauroyl Glutamate,,-1.00,,,
Dioctyldodeceth-5 Lauroyl Glutamate,,-1.00,,,
Dioctyldodecyl Stearoyl Glutamate,,-1.00,,,
Dioleoyl Edetolmonium Methosulfate,,-1.00,,,
Dioleoylisopropyl Dimonium Methosulfate,,-1.00,,,
Diolivoylethyl Dimonium Chloride,,-1.00,,,
Dipalmitoylethyl Dimonium Chloride,,-1.00,,,
Dipalmoylisopropyl Dimonium Methosulfate,,-1.00,,,
Dipotassium Bryonolyl Succinate,,-1.00,,,
Dipotassium Capryloyl Glutamate,,-1.00,,,
Oleyl Betaine,,-1.00,,,
Dihydroxyethyl Stearamine Oxide,,-1.00,,,
Sodium C8-16 Isoalkylsuccinyl Lactoglobulin Sulfonate,,-1.00,,,
Disodium 2-Sulfopalmitate,,-1.00,,,
Disodium Azelate,,-1.00,,,
Disodium C12-14 Alketh-3 Sulfosuccinate,,-1.00,,,
Disodium C12-14 Sec-Pareth-12 Sulfosuccinate,,-1.00,,,
Disodium C12-14 Sec-Pareth-5 Sulfosuccinate,,-1.00,,,
Disodium C12-14 Sec-Pareth-9 Sulfosuccinate,,-1.00,,,
Disodium C12-15 Pareth Sulfosuccinate,,-1.00,,,
Disodium Caproamphodiacetate,,-1.00,,,
Disodium Caproamphodipropionate,,-1.00,,,
Disodium Capryloamphodipropionate,,-1.00,,,
Disodium Capryloyl Glutamate,,-1.00,,,
Sodium Tridecylbenzenesulfonate,,-1.00,,,
Disodium 2-Sulfolaurate,,-1.00,,,
Disodium Cetyl Sulfosuccinate,,-1.00,,,
Disodium Coceth-3 Sulfosuccinate,,-1.00,,,
Disodium Coco-Glucoside Citrate,,-1.00,,,
Disodium Coco-Sulfosuccinate,,-1.00,,,
Disodium Decyl Phenyl Ether Disulfonate,,-1.00,,,
Disodium Dihydroxyethyl Sulfosuccinylundecylenate,,-1.00,,,
Disodium Ethylene Dicocamide PEG-15 Disulfate,,-1.00,,,
Disodium Isostearamido MEA-Sulfosuccinate,,-1.00,,,
Disodium Isostearamido MIPA-Sulfosuccinate,,-1.00,,,
Disodium Lauramido MEA-Sulfosuccinate,,-1.00,,,
Disodium Laureth Sulfosuccinate,,-1.00,,,
Disodium Cetyl Phenyl Ether Disulfonate,,-1.00,,,
Disodium Lauramido PEG-5 Sulfosuccinate,,-1.00,,,
Disodium Laureth-6 Sulfosuccinate,,-1.00,,,
Disodium Laureth-7 Citrate,,-1.00,,,
Disodium Laureth-9 Sulfosuccinate,,-1.00,,,
Disodium Lauriminodipropionate,,-1.00,,,
Disodium Lauroamphodiacetate,,-1.00,,,
Disodium Lauroamphodiacetate Lauroyl Sarcosinate,,-1.00,,,
Disodium Lauroyl Glutamate,,-1.00,,,
Disodium Lauryl Phosphate,,-1.00,,,
Disodium Lauryl Sulfosuccinate,,-1.00,,,
Disodium N-Lauroyl Aspartate,,-1.00,,,
Bis-(Isostearoyl/Oleoyl Isopropyl) Dimonium Methosulfate,,-1.00,,,
Disodium Lauramido PEG-2 Sulfosuccinate,,-1.00,,,
Disodium Oleamido MEA-Sulfosuccinate,,-1.00,,,
Disodium Oleamido MIPA-Sulfosuccinate,,-1.00,,,
Disodium Oleoamphodipropionate,,-1.00,,,
Disodium Oleth-3 Sulfosuccinate,,-1.00,,,
Disodium Oleyl Phosphate,,-1.00,,,
Disodium Oleyl Sulfosuccinate,,-1.00,,,
Disodium PEG-12 Dimethicone Sulfosuccinate,,-1.00,,,
Disodium PEG-4 Cocamido MIPA-Sulfosuccinate,,-1.00,,,
Disodium PEG-5 Laurylcitrate Sulfosuccinate,,-1.00,,,
Disodium PEG-8 Lauryl Dimethicone Sulfosuccinate,,-1.00,,,
Disodium PPG-2 Lauryl Ether Sulfosuccinamate,,-1.00,,,
Disodium Laurylglucosides Hydroxypropyl Citrate,,-1.00,,,
Disodium Sitostereth-14 Sulfosuccinate,,-1.00,,,
Disodium Soyamphodiacetate,,-1.00,,,
Disodium Stearamido MEA-Sulfosuccinate,,-1.00,,,
Disodium Stearyl Sulfosuccinamate,,-1.00,,,
Disodium Sulfoacetate,,-1.00,,,
Disodium Sulfomethyl Cocosuccinate,,-1.00,,,
Disodium Sulfosuccinate Laurylglucoside Crosspolymer,,-1.00,,,
Disodium Tallow Sulfosuccinamate,,-1.00,,,
Disodium Tallowamphodiacetate,,-1.00,,,
Disodium Tallowiminodipropionate,,-1.00,,,
Disodium Wheat Germamido PEG-2 Sulfosuccinate,,-1.00,,,
Furfuryltrimethyl Ammonium,,-1.00,,,
Disodium Ricinoleamido MEA-Sulfosuccinate,,-1.00,,,
Disodium Wheatgermamphodiacetate,,-1.00,,,
Disoyamidoethyl Hydroxyethyl Ammonium Lactate,,-1.00,,,
Distearamidopropylmethylamine,,-1.00,,,
Disteareth-2 Lauroyl Glutamate,,-1.00,,,
Disteareth-5 Lauroyl Glutamate,,-1.00,,,
Disteareth-6 Dimonium Chloride,,-1.00,,,
Ditallowethyl Hydroxyethylmonium Methosulfate,,-1.00,,,
Ditallowoyl PG-dimonium Chloride,,-1.00,,,
Ditridecyl Sodium Sulfosuccinate,,-1.00,,,
Ditridecyldimonium Chloride,,-1.00,,,
Dodecylhexadecyltrimonium Chloride,,-1.00,,,
Disodium Tridecylsulfosuccinate,,-1.00,,,
Disodium PEG-8 Palm Glycerides Sulfosuccinate,,-1.00,,,
Dodecylbenzene Sulfonic Acid,,-1.00,,,
Dodecylbenzyltrimonium Chloride,,-1.00,,,
Dodecyltriphenylphosphonium Bromide,,-1.00,,,
Dodecylxylylditrimonium Chloride,,-1.00,,,
Dodoxynol-9,,-1.00,,,
Domiphen Bromide,,-1.00,,,
Erucamidopropyl Hydroxysultaine,,-1.00,,,
Ethanolamine Thioglycolate,,-1.00,,,
Ethyl Hydroxymethyl Oleyl Oxazoline,,-1.00,,,
Ethyl PEG-15 Cocamine Sulfate,,-1.00,,,
Ethylene Oxide,,-1.00,,,
C12-13 Alketh-8 Carboxylic Acid,,-1.00,,,
Dilauramido Isopropanol,,-1.00,,,
C11-15 Pareth-12,"emulsifying, surfactant/cleansing",-1.00,,,
Caprylamide MEA,,-1.00,,,
Dicyclohexyl Sodium Sulfosuccinate,,-1.00,,,
Glycereth-6 Laurate,,-1.00,,,
CI 19140/Tartrazine,Colorant,,,,
CI 77742/Manganese Violet,Colorant,,,,
Glyceryl Cocoyl Leucinate,,-1.00,,,
Glyceryl Lauryl Ether,,-1.00,,,
C10-14 Alkyl Benzenesulfonic Acid,,-1.00,,,
Glycol Salicylate,,-1.00,,,
Glycolamide Stearate,,-1.00,,,
Sodium C12-15 Alketh-12 Carboxylate,,-1.00,,,
C12-15 Alketh-8 Carboxylic Acid,,-1.00,,,
Sodium C12-15 Alketh-7 Sulfonate,,-1.00,,,
Cocamidopropyl Ethyldimonium Ethosulfate,,-1.00,,,
Hexyloxodecanamide MEA Phosphate,,-1.00,,,
Hippophae Rhamnoidesamidopropyl Betaine,,-1.00,,,
CI 45425:1/Diiodofluorescein,Colorant,,,,
C12-15 Pareth-6 Phosphate,,-1.00,,,
Hydrogenated Tallowalkonium Chloride,,-1.00,,,
Hydrogenated Tallowamine Oxide,,-1.00,,,
Hydrogenated Tallowtrimonium Chloride,,-1.00,,,
Hydroxyethyl Cetyldimonium Chloride,,-1.00,,,
Hydroxyethyl Erucamidopropyl Dimonium Chloride,,-1.00,,,
C9-11 Alketh-8 Carboxylic Acid,,-1.00,,,
Sodium C12-13 Alketh-2 Phosphate,,-1.00,,,
Sodium C13-15 Alketh-3 Sulfate,,-1.00,,,
Sodium C9-15 Alketh-3 Sulfate,,-1.00,,,
Hydroxyethyl Cetyldimonium Phosphate,,-1.00,,,
Hydroxyethyl Isobutyl Piperidine Carboxylate,,-1.00,,,
Hydroxyethyl Isostearyloxy Isopropanolamine,,-1.00,,,
Hydroxyethyl Laurdimonium Chloride,,-1.00,,,
Hydroxyethyl Oleyl Dimonium Chloride,,-1.00,,,
Hydroxymethyl Dioxoazabicyclooctane,,-1.00,,,
Hydroxypropyl Bisisostearamidopropyldimonium Chloride,,-1.00,,,
Hydroxypropyl Bislauramide MEA,,-1.00,,,
Hydroxystearamidopropyl Trimonium Methosulfate,,-1.00,,,
Isodeceth-6,,-1.00,,,
Isolaureth-6,,-1.00,,,
Isononamidopropyl Ethyldimonium Ethosulfate,,-1.00,,,
Isopropamide salts,,-1.00,,,
Isopropylamine Dodecylbenzenesulfonate,,-1.00,,,
Isostearamide DEA,,-1.00,,,
Isostearamidopropyl Epoxypropyl Dimonium Chloride,,-1.00,,,
Isostearamidopropyl Ethyldimonium Ethosulfate,,-1.00,,,
Isostearamidopropyl Ethylmorpholinium Ethosulfate,,-1.00,,,
Isostearamidopropyl Laurylacetodimonium Chloride,,-1.00,,,
Isostearamidopropyl Morpholine,,-1.00,,,
Isostearamidopropyl Morpholine Oxide,,-1.00,,,
Isostearamidopropylamine Oxide,,-1.00,,,
Isostearyl Behenamidopropyl Betainate Chloride,,-1.00,,,
Isostearyl Ethyldimonium Chloride,,-1.00,,,
Isostearyl Dilinoleamidopropyl Betainate Chloride,,-1.00,,,
Isostearyl Ricinoleamidopropyl Betainate Chloride,,-1.00,,,
Lauramide,,-1.00,,,
Lauramide DEA,,-1.00,,,
Lauramide DIPA,,-1.00,,,
Lauramide MEA,,-1.00,,,
Lauramide MIPA,,-1.00,,,
Lauramidopropyl Betaine,,-1.00,,,
Lauramidopropyl Hydroxysultaine,,-1.00,,,
Lauramidopropylamine Oxide,,-1.00,,,
Lauramino Propylene Glycol,,-1.00,,,
Laurdimonium Chlorohydroxypropyl Chloride,,-1.00,,,
Laureth-25,,-1.00,,,
MIPA-C12-14 Sec-Alketh-3 Acetate,,-1.00,,,
Sodium C10-16 Alketh-2 Sulfate,,-1.00,,,
Lauramidopropyl Acetamidodimonium Chloride,,-1.00,,,
Laureth-10 Carboxylic Acid,,-1.00,,,
Laureth-11,,-1.00,,,
Laureth-13,,-1.00,,,
Laureth-14,,-1.00,,,
Laureth-14 Carboxylic Acid,,-1.00,,,
Laureth-16,,-1.00,,,
Laureth-2,,-1.00,,,
Laureth-2 Phosphate,,-1.00,,,
Laureth-21,,-1.00,,,
Laureth-3 Phosphate,,-1.00,,,
Laureth-30,,-1.00,,,
Laureth-4 Phosphate,,-1.00,,,
Laureth-6,,-1.00,,,
Laureth-8 Phosphate,,-1.00,,,
Laureth-4 Carboxylic Acid,,-1.00,,,
Laureth-5,,-1.00,,,
Laureth-5 Carboxylic Acid,,-1.00,,,
Laureth-50,,-1.00,,,
Laureth-7,,-1.00,,,
Laureth-8,,-1.00,,,
Laureth-9,,-1.00,,,
Lauric Acid,,-1.00,,,
Lauroyl Glutamic Acid,,-1.00,,,
Laurtrimonium Bromide,,-1.00,,,
Laurtrimonium Chloride,,-1.00,,,
Lauryl Alcohol,,-1.00,,,
Lauryl Betaine,,-1.00,,,
Lauryl Diethylenediaminoglycine HCl,,-1.00,,,
Laureth-1 Phosphate,,-1.00,,,
Dipotassium Undecylenoyl Glutamate,,-1.00,,,
Lauryl Diethylenediaminoglycine,,-1.00,,,
Lauryl Dimethicone PEG-10 Phosphate,,-1.00,,,
Lauryl Glycol Hydroxypropyl Ether,,-1.00,,,
Lauryl PG-Dimonium Chloride,,-1.00,,,
Lauryl Phosphate,,-1.00,,,
Lauryl Pyrrolidone,,-1.00,,,
Lauryl Sultaine,,-1.00,,,
Laurylamine Dipropylenediamine,,-1.00,,,
Laurylgluconamide Palmitates,,-1.00,,,
Laurylpyridinium Chloride,,-1.00,,,
Sodium Chitosan Caprylamide Hydroxypropylsulfonate,,-1.00,,,
Sodium C12-15 Alketh-3 Sulfonate,,-1.00,,,
Caprylyl Alcohol,Emollient,,,0.100,5.000
CI 15630:3/Lithol Red SR,Colorant,,,,
Linoleamide MEA,,-1.00,,,
Linoleamidopropyl Ethyldimonium Ethosulfate,,-1.00,,,
Lysine Lauroyl Methionate,,-1.00,,,
MEA-Laureth Sulfate,,-1.00,,,
MEA-Laureth-6 Carboxylate,,-1.00,,,
MEA-Salicylate,,-1.00,,,
MEA-Undecylenate,,-1.00,,,
MIPA C12-15 Pareth Sulfate,,-1.00,,,
MIPA-Dodecylbenzenesulfonate,,-1.00,,,
MIPA-Laureth Sulfate,,-1.00,,,
Magnesium Laureth-16 Sulfate,,-1.00,,,
Magnesium Laureth-5 Sulfate,,-1.00,,,
Magnesium Laureth-8 Sulfate,,-1.00,,,
Magnesium Lauryl Sulfate,,-1.00,,,
Magnesium Methyl Cocoyl Taurate,,-1.00,,,
Magnesium Myreth Sulfate,,-1.00,,,
Magnesium Palmitoyl Glutamate,,-1.00,,,
Meroxapol 105,,-1.00,,,
Meroxapol 174,,-1.00,,,
Meroxapol 178,,-1.00,,,
Meroxapol 251,,-1.00,,,
Meroxapol 311,,-1.00,,,
Methacrylic Acid,,-1.00,,,
Methoxycinnamidopropyl Hydroxysultaine,,-1.00,,,
Methoxycinnamidopropyl Laurdimonium Tosylate,,-1.00,,,
Methoxypropylgluconamide,,-1.00,,,
Methyl Hydroxymethyl Oleyl Oxazoline,,-1.00,,,
Methyl Morpholine Oxide,,-1.00,,,
Milkamidopropyl Amine Oxide,,-1.00,,,
Milkamidopropyl Betaine,,-1.00,,,
Minkamidopropalkonium Chloride,,-1.00,,,
Minkamidopropyl Betaine,,-1.00,,,
Mixed Isopropanolamines Lauryl Sulfate,,-1.00,,,
Monoalkyl and monoalkanol and its salts,,-1.00,,,
Myreth-10,,-1.00,,,
Myreth-2,,-1.00,,,
Myreth-3,,-1.00,,,
Myreth-4,,-1.00,,,
Myristalkonium Chloride,,-1.00,,,
Magnesium Laureth Sulfate,,-1.00,,,
Myreth-5,,-1.00,,,
Myreth-5 Carboxylic Acid,,-1.00,,,
Myristamide MEA,,-1.00,,,
Myristamide MIPA,,-1.00,,,
Myristamidopropyl Betaine,,-1.00,,,
Myristamidopropyl Hydroxysultaine,,-1.00,,,
Myristamidopropylamine Oxide,,-1.00,,,
Myristamine Oxide,,-1.00,,,
Myristoyl Glutamic Acid,,-1.00,,,
Myristoyl Sarcosine,,-1.00,,,
Myristyl Betaine,,-1.00,,,
Myristyl Malate Phosphonic Acid,,-1.00,,,
Nonoxynol-12,,-1.00,,,
Myristylamidopropyl Dimethylamine Dimethicone PEG-7 Phosphate,,-1.00,,,
Myrtrimonium Bromide,,-1.00,,,
"N,N'-Hexamethylenebis (trimethylammonium) Salts, e.g. Hexamethonium Bromide",,-1.00,,,
"N,N'-Pentamethylenebis(trimethylammonium)",,-1.00,,,
"N,N'-Pentamethylenebis(trimethylammonium) salts, e.g. Pentamethonium Bromide (INN)",,-1.00,,,
"N-(3-Carbamoyl-3,3-diphenylpropyl)-N,N-Diisopropylmethylammonium salts, e.g. isopropamide iodide",,-1.00,,,
N-Decyl-N-Methylbenzylamine,,-1.00,,,
Nonoxynol-1,,-1.00,,,
Nonoxynol-10,,-1.00,,,
Nonoxynol-2,,-1.00,,,
Nonoxynol-30,,-1.00,,,
Nonoxynol-9,,-1.00,,,
PEG-9 Soyate,,-1.00,,,
Nonoxynol-11,,-1.00,,,
Ammonium Myristyl Sulfate,,-1.00,,,
Nonoxynol-14,,-1.00,,,
Nonoxynol-15,,-1.00,,,
Nonoxynol-18,,-1.00,,,
Nonoxynol-20,,-1.00,,,
Nonoxynol-4,,-1.00,,,
Nonoxynol-5,,-1.00,,,
Nonoxynol-6,,-1.00,,,
Nonoxynol-8,,-1.00,,,
Nonyl Nonoxynol-10 Phosphate,,-1.00,,,
Nonyl Nonoxynol-100,,-1.00,,,
Nonyl Nonoxynol-15 Phosphate,,-1.00,,,
Nonylphenol [1],,-1.00,,,
"Nonylphenol [1]; 4-Nonylphenol, branched [2]",,-1.00,,,
Ammonium Xylenesulfonate,"surfactant/cleansing, viscosity controlling",-1.00,,,
Oatamidopropyl Betaine,,-1.00,,,
Ammonium Polyacryloyldimethyl Taurate,"viscosity controlling, emulsion stabilising",-1.00,,,
Octadecenyl- Ammonium Fluoride,,-1.00,,,
Octoxynol-1,,-1.00,,,
Octoxynol-10,,-1.00,,,
Octoxynol-11,,-1.00,,,
Octoxynol-13,,-1.00,,,
Octoxynol-16,,-1.00,,,
Octoxynol-3,,-1.00,,,
Octoxynol-30,,-1.00,,,
Octoxynol-40,,-1.00,,,
Octoxynol-5,,-1.00,,,
Octoxynol-6,,-1.00,,,
Octoxynol-7,,-1.00,,,
